Movie,Distributor,Genre,RunTime,MPAA,Budget,ForeignSale
Seondal:The Man Who Sells the River,CJ Entertainment,Comedy,120,Unrated,,
Trust Fund,Transatlantic,Drama,107,PG,,
Presenting Princess Shaw,Magnolia,Documentary,80,Unrated,,
,,,,,,
The Unknowns,Gathr Films,Documentary,85,Unrated,15000,
Band of Outsiders (2016 re-issue),Rialto,Drama,97,Unknown,,
Until Forever,Linn Productions,Drama,101,Unrated,,
Norman Lear:Just Another Version of You,Music Box Films,Documentary,91,Unrated,,
Songs My Brothers Taught Me,Kino Lorber,Drama,98,Unrated,,
Mr. Right,Focus World,Action Comedy,95,R,,
Eisenstein in Guanajuato,Strand,Romantic Comedy,105,Unrated,,
Monster Hunt,FilmRise,Action Fantasy,111,Unrated,,385252051
"Rio, I Love You",Screen Media,Drama,112,R,,
Being Charlie,Paladin,Comedy,97,R,,
Men & Chicken,Drafthouse,Comedy,104,Unrated,,4591767
Therapy for a Vampire,Music Box Films,Horror Comedy,87,Unrated,,
The Dog Wedding,25th Frame,Romantic Comedy,96,PG-13,,
Troublemakers:The Story of Land Art,First Run,Documentary,72,Unrated,,9109
From Afar,Strand,Drama,93,Unknown,,
No Home Movie,Icarus Films,Documentary,115,Unrated,,
Time to Choose,Abramorama,Documentary,96,Unrated,,
Valley of Love,Strand,Drama,91,Unrated,,
"Rabin, the Last Day",Kino Lorber,Drama,153,Unrated,,
Take Me to the River (2016),Film Movement,Drama,84,Unrated,,
Blackway,Electric Entertainment,Thriller,90,Not Yet Rated,,
Nuts!,Cartuna,Documentary,79,Unrated,,
Anesthesia,IFC,Drama / Thriller,90,R,,
Papa (Luo shan ji dao dan ji hua),Jampa,Comedy / Drama,,Unrated,,
Neon Bull,Kino Lorber,Drama,101,Unrated,,
Unlocking the Cage,First Run,Documentary,91,Unrated,,
Standing Tall (La tete haute),Cohen Media Group,Drama,120,R,,
Chevalier,Strand,Drama,99,Unrated,,
The New Year's Eve of Old Lee,China Lion,Comedy,106,Unrated,,
A Monster with a Thousand Heads,Music Box Films,Drama / Thriller,75,Unrated,,
Lolo,FilmRise,Romantic Comedy,100,Unrated,,
Germans & Jews,First Run,Documentary,76,Unrated,,
Southbound,The Orchard,Horror Thriller,89,R,,
Project Itoh - Harmony,FUNimation Films,Animation,,Unrated,,
Be Here Now:The Andy Whitfield Story,Tugg ,Documentary,110,Unrated,,
Sanam Teri Kasam,Eros,Romance,154,Unrated,,
Paths of the Soul,Icarus Films,Drama,117,Unrated,,
Term Life,Focus World,Crime Drama,93,R,,
Already Tomorrow in Hong Kong,Gravitas Ventures,Romantic Comedy,78,Unrated,,
Almost Holy,The Orchard,Documentary,100,R,,
Last Cab to Darwin,First Run,Comedy / Drama,123,Unrated,,
Restored Me,Gathr Films,Drama,126,Unrated,,
Time Changer (2016 re-release),Five & Two Pictures,Sci-Fi Adventure,99,PG,,
Band of Robbers,Gravitas Ventures,Adventure Comedy,104,Unrated,,
"Kill Me, Deadly",Indican,Comedy,100,Unrated,,
Art Bastard,CAVU,Documentary,82,Unrated,,
Revelation:Dawn of Global Government,Rocky Mountain Pictures,Documentary,106,PG,,
Ktown Cowboys,Freestyle Releasing,Comedy / Drama,83,R,,
Seoul Searching,Wonder Vision,Comedy,105,Unrated,,
Holy Hell,WRA Productions,Documentary,112,Unrated,,
I Knew Her Well,Janus Films,Drama,115,Unrated,,
"Right Now, Wrong Then",Grasshopper Film,Drama,121,Unrated,,
Streit's:Matzo and the American Dream,Menemsha,Documentary,75,Unrated,,
Gurukulam,Matson Films,Documentary,108,Unrated,,
Cosmos,Kino Lorber,Drama,103,Unrated,,
Colonia,Screen Media,Thriller,110,R,,
Be Somebody,Tugg ,Comedy,88,PG,,
Of Mind and Music,"Monterey Media, Inc.",Drama,97,PG-13,,
Remember You,CJ Entertainment,Romantic Thriller,106,Unknown,,
Lamb (2016),The Orchard,Drama,96,R,,
Argentina,First Run,Documentary,85,Unrated,,
Kamikaze '89,Film Movement,Sci-Fi,106,Unrated,,
Yosemite,"Monterey Media, Inc.",Drama,82,R,,
A Space Program,Zeitgeist,Documentary,72,Unrated,,
Late Spring (2016 re-release),Janus Films,Drama,108,Unrated,,
Tikkun,Kino Lorber,Drama,120,Unrated,,
Adderall Diaries,A24,Drama / Thriller,105,R,,
City of Women (2016 re-issue),Cohen Media Group,Comedy / Drama,139,R,,
The Ones Below,Magnolia,Thriller,87,R,,
Elstree 1976,FilmRise,Documentary,101,Unrated,,
Kill Zone 2,Well Go USA,Action / Adventure,118,Unrated,,
River of Grass,Oscilloscope Pictures,Drama,81,Unrated,,
Jeruzalem,Epic Pictures,Horror,94,R,,
Serial Killer 1,Kino Lorber,Crime Drama,120,Unrated,,
Approaching the Unknown,Independent,Sci-Fi Thriller,90,Not Yet Rated,,
Equals,A24,Drama,101,PG-13,,
The Last King,Magnolia,Action / Adventure,99,R,,
How He Fell in Love,Monument Releasing,Romance,107,Unrated,,
Providence,Mainstreet,Romance,79,Unrated,,
We Are Twisted F***ing Sister!,Music Box Films,Documentary,135,Unrated,,
